Id,Name,MetaKeywords,MetaTitle,ManuallyPriceRange,LogoUrl,WarrantyUrl,BulletPointColorCode,MDMBrandId,ProductPageLogoUrl,CartAndOrderPageLogoUrl,WarrantyLogoURLHideOrUnhide,gcp_cdn
6,Turbosound,NULL,NULL,0,https://www.turbosound.com/.resources/musictribe-templates/webresources/logos/header-logo-turbosound.svg,https://www.turbosound.com/service/service-warranty.html?modelCode=,#00205c,Turbosound,https://cdn.mediavalet.com/aunsw/musictribe/1VyML30es062RqOEJwQrxw/4DmF7Cw0JU2-KM8lHXDiDA/Original/Turbosound-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/V0jZtMXSZUexRq2Wj3bG6g/wgGCXsWE-U6weB5KRtDgdQ/Original/Turbosound-Cart-Logo.svg,1,abea2ca118cd4676bc38baf42a4e50ab/Turbosound-Produc-Feature-Logo-Desktop.svg
6,Turbosound,NULL,NULL,0,https://www.turbosound.com/.resources/musictribe-templates/webresources/logos/header-logo-turbosound.svg,https://www.turbosound.com/service/service-warranty.html?modelCode=,#00205c,Turbosound,https://cdn.mediavalet.com/aunsw/musictribe/1VyML30es062RqOEJwQrxw/4DmF7Cw0JU2-KM8lHXDiDA/Original/Turbosound-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/V0jZtMXSZUexRq2Wj3bG6g/wgGCXsWE-U6weB5KRtDgdQ/Original/Turbosound-Cart-Logo.svg,1,f80ef9cd05704130a1a4896eae47282b/Turbosound-Cart-Logo.svg
7,TC Electronic,NULL,NULL,0,https://www.tcelectronic.com/.resources/musictribe-templates/webresources/logos/header-logo-tcelectronic.svg,https://www.tcelectronic.com/service/service-warranty.html?modelCode=, #12284c,TC Electronic,https://cdn.mediavalet.com/aunsw/musictribe/4yNLqPb0d0uy1ePzkriz6Q/qwCMw6vlKEusAjNIBwBP7Q/Original/TC-Electronic-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/NDhRDdmYHE2ORerOltmaJg/iacC-rGmeESULTIt8q60Vw/Original/TC-Electronic-Cart-Logo.svg,1,9067b63ca7bc4ebbac601a2814781c12/TC-Electronic-Produc-Feature-Logo-Desktop.svg
7,TC Electronic,NULL,NULL,0,https://www.tcelectronic.com/.resources/musictribe-templates/webresources/logos/header-logo-tcelectronic.svg,https://www.tcelectronic.com/service/service-warranty.html?modelCode=, #12284c,TC Electronic,https://cdn.mediavalet.com/aunsw/musictribe/4yNLqPb0d0uy1ePzkriz6Q/qwCMw6vlKEusAjNIBwBP7Q/Original/TC-Electronic-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/NDhRDdmYHE2ORerOltmaJg/iacC-rGmeESULTIt8q60Vw/Original/TC-Electronic-Cart-Logo.svg,1,ee646937434d4eadb14ea8063203acbb/TC-Electronic-Cart-Logo.svg
8,TC Helicon,NULL,NULL,0,https://www.tc-helicon.com/.resources/musictribe-templates/webresources/logos/header-logo-tchelicon.svg,https://www.tc-helicon.com/service/service-warranty.html?modelCode=,#005cb9,TC Helicon,NULL,https://cdn.mediavalet.com/aunsw/musictribe/UAvBef5kX063G_zZ_4bb_g/xnIVD7HQQ0GQelKU1Xr3ZA/Original/TC-Helicon-Cart-Logo.svg,1,f9afc37780af46899e1d63cf23882091/TC-Helicon-Cart-Logo.svg
9,Behringer,NULL,NULL,0,https://cdn.mediavalet.com/aunsw/musictribe/ekjWUp12kkupeTERY1ZDaw/EFHHjRigZUeqktlqExG86w/Original/header-logo-behringer.svg,https://www.behringer.com/service/service-warranty.html?modelCode=,#f9b82d,Behringer,https://cdn.mediavalet.com/aunsw/musictribe/8sbR2NK5ak-L4e_Xvs56fQ/TQGKpCp0R0aM8CoLUg17Pw/Original/Behringer-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/2cHFmkuzS0KxBqCwLXqz8A/1EhMlqh2f06ccd_bRHotKg/Original/Behringer-Cart-Logo.svg,1,c3d0e9ac49b44b9993c3dc250fd4af54/header-logo-behringer.svg
9,Behringer,NULL,NULL,0,https://cdn.mediavalet.com/aunsw/musictribe/ekjWUp12kkupeTERY1ZDaw/EFHHjRigZUeqktlqExG86w/Original/header-logo-behringer.svg,https://www.behringer.com/service/service-warranty.html?modelCode=,#f9b82d,Behringer,https://cdn.mediavalet.com/aunsw/musictribe/8sbR2NK5ak-L4e_Xvs56fQ/TQGKpCp0R0aM8CoLUg17Pw/Original/Behringer-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/2cHFmkuzS0KxBqCwLXqz8A/1EhMlqh2f06ccd_bRHotKg/Original/Behringer-Cart-Logo.svg,1,1b1091cf88d44e6599fe2ba75050de37/Behringer-Produc-Feature-Logo-Desktop.svg
9,Behringer,NULL,NULL,0,https://cdn.mediavalet.com/aunsw/musictribe/ekjWUp12kkupeTERY1ZDaw/EFHHjRigZUeqktlqExG86w/Original/header-logo-behringer.svg,https://www.behringer.com/service/service-warranty.html?modelCode=,#f9b82d,Behringer,https://cdn.mediavalet.com/aunsw/musictribe/8sbR2NK5ak-L4e_Xvs56fQ/TQGKpCp0R0aM8CoLUg17Pw/Original/Behringer-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/2cHFmkuzS0KxBqCwLXqz8A/1EhMlqh2f06ccd_bRHotKg/Original/Behringer-Cart-Logo.svg,1,2b6aba8e81bf4447a0e05944787dcb58/Behringer-Cart-Logo.svg
10,Bugera,NULL,NULL,0,https://www.bugera-amps.com/.resources/musictribe-templates/webresources/logos/header-logo-bugera.svg,https://www.bugera-amps.com/service/service-warranty.html?modelCode=,#ff4d00,Bugera,https://cdn.mediavalet.com/aunsw/musictribe/eC7f9Q4FzUK-8ykuH9AI8w/B4Fnx8QLm0GmG1JDhZKu4A/Original/Bugera-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/BkAtBRWIVEKWncsiwKixlw/kaUQ56RcI02wToZxILccvA/Original/Bugera-Cart-Logo.svg,1,c6413fd5c8c64d7f95fe78a2910eb798/Bugera-Produc-Feature-Logo-Desktop.svg
10,Bugera,NULL,NULL,0,https://www.bugera-amps.com/.resources/musictribe-templates/webresources/logos/header-logo-bugera.svg,https://www.bugera-amps.com/service/service-warranty.html?modelCode=,#ff4d00,Bugera,https://cdn.mediavalet.com/aunsw/musictribe/eC7f9Q4FzUK-8ykuH9AI8w/B4Fnx8QLm0GmG1JDhZKu4A/Original/Bugera-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/BkAtBRWIVEKWncsiwKixlw/kaUQ56RcI02wToZxILccvA/Original/Bugera-Cart-Logo.svg,1,0306ba2f84e141e5868260bd38fd8527/Bugera-Cart-Logo.svg
11,Auratone,NULL,NULL,0,https://www.auratone.eu/.resources/musictribe-templates/webresources/logos/header-logo-auratone.svg,NULL,#000000,Auratone,https://cdn.mediavalet.com/aunsw/musictribe/ch9_378w0kC_yDdsyF6LpQ/Ej4HvQrWy0qVXeXyoNRXUg/Original/Auratone-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/iRWDABo1xUitnwO6JJEFrA/z5-iapImD0aTHh4RInwT2g/Original/Auratone-Cart-Logo.svg,1,7e2a170d27fb40a998a3b2d28387f102/Auratone-Produc-Feature-Logo-Desktop.svg
11,Auratone,NULL,NULL,0,https://www.auratone.eu/.resources/musictribe-templates/webresources/logos/header-logo-auratone.svg,NULL,#000000,Auratone,https://cdn.mediavalet.com/aunsw/musictribe/ch9_378w0kC_yDdsyF6LpQ/Ej4HvQrWy0qVXeXyoNRXUg/Original/Auratone-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/iRWDABo1xUitnwO6JJEFrA/z5-iapImD0aTHh4RInwT2g/Original/Auratone-Cart-Logo.svg,1,43e747d2a1e045389d70da6a13c3c55d/Auratone-Cart-Logo.svg
12,Coolaudio,NULL,NULL,0,https://www.coolaudio.com/images/logos/COOLAUDIO%20LOGO.png,NULL,#000000,Coolaudio,https://cdn.mediavalet.com/aunsw/musictribe/vZ29KWTJIUaJBMydQvKwWQ/Yx3DtnnD_EaXiupS5aoeTw/Original/Coolaudio-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/LW4mXAG2DEWqrYNUz-uhAA/rcDQUvclbE-cdUYQ1kthew/Original/Coolaudio-Cart-Logo.svg,1,16fb1ad90e8042039e6085cc3b844117/Coolaudio-Produc-Feature-Logo-Desktop.svg
12,Coolaudio,NULL,NULL,0,https://www.coolaudio.com/images/logos/COOLAUDIO%20LOGO.png,NULL,#000000,Coolaudio,https://cdn.mediavalet.com/aunsw/musictribe/vZ29KWTJIUaJBMydQvKwWQ/Yx3DtnnD_EaXiupS5aoeTw/Original/Coolaudio-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/LW4mXAG2DEWqrYNUz-uhAA/rcDQUvclbE-cdUYQ1kthew/Original/Coolaudio-Cart-Logo.svg,1,e431fdaf0b7e481d987d8c3b03ef92e7/Coolaudio-Cart-Logo.svg
13,Eurocom,NULL,NULL,0,https://eurocom.musictribe.com/images/eurocom_logo.jpg,NULL,#000000,Eurocom,https://cdn.mediavalet.com/aunsw/musictribe/ziFhIosXtUu16aNjtbMejg/3mXEN1agmkGQpbJcSfvgAw/Original/Eurocom-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/RirHOPxnOE258jUEzGT3qw/j_mRno2-AkaS_l5ldijQ7g/Original/Eurocom-Cart-Logo.svg,1,b90e153a67914958ad296b14df71e08b/Eurocom-Produc-Feature-Logo-Desktop.svg
13,Eurocom,NULL,NULL,0,https://eurocom.musictribe.com/images/eurocom_logo.jpg,NULL,#000000,Eurocom,https://cdn.mediavalet.com/aunsw/musictribe/ziFhIosXtUu16aNjtbMejg/3mXEN1agmkGQpbJcSfvgAw/Original/Eurocom-Produc-Feature-Logo-Desktop.svg,https://cdn.mediavalet.com/aunsw/musictribe/RirHOPxnOE258jUEzGT3qw/j_mRno2-AkaS_l5ldijQ7g/Original/Eurocom-Cart-Logo.svg,1,b6ec40ed9e5e4a7996a0c8847b086b20/Eurocom-Cart-Logo.svg
14,Aston Microphones,NULL,NULL,0,https://cdn.mediavalet.com/aunsw/musictribe/PnS027inM0KTumVROXncuw/17IJNlGAckuYycdUCW0gGA/Original/Aston-Mic-logo.png,NULL,#000000,Aston Microphones,NULL,NULL,1,e0bfd2dd730d4d7289886e339898b4b0/Aston-Mic-logo.png
